,gender,age,married,number_of_dependents,city,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,customer_status
0,Female,37,Yes,0,Frazier Park,2,9,no_offer,Yes,42.39,No,Yes,Cable,16.0,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,0.0,0,381.51,974.81,Stayed
1,Male,46,No,0,Glendale,0,9,no_offer,Yes,10.69,Yes,Yes,Cable,10.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,-4.0,38.33,10,96.21,610.28,Stayed
2,Male,50,No,0,Costa Mesa,0,4,Offer E,Yes,33.65,No,Yes,Fiber Optic,30.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,0.0,0,134.6,415.45,Churned
3,Male,78,Yes,0,Martinez,1,13,Offer D,Yes,27.82,No,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,0.0,0,361.66,1599.51,Churned
4,Female,75,Yes,0,Camarillo,3,3,no_offer,Yes,7.38,No,Yes,Fiber Optic,11.0,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,0.0,0,22.14,289.54,Churned
5,Female,23,No,3,Midpines,0,9,Offer E,Yes,16.77,No,Yes,Cable,73.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,0.0,0,150.93,722.38,Stayed
6,Female,67,Yes,0,Lompoc,1,71,Offer A,Yes,9.96,No,Yes,Fiber Optic,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,0.0,0,707.16,8611.41,Stayed
7,Male,52,Yes,0,Napa,8,63,Offer B,Yes,12.96,Yes,Yes,Fiber Optic,7.0,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,0.0,20,816.48,6214.28,Stayed
8,Female,68,No,0,Simi Valley,0,7,Offer E,Yes,10.53,No,Yes,DSL,21.0,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,0.0,0,73.71,414.06,Stayed
9,Female,43,Yes,1,Sheridan,3,65,no_offer,Yes,28.46,Yes,Yes,Cable,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,0.0,0,1849.9,7807.8,Stayed
10,Male,47,No,0,Rancho Santa Fe,0,54,no_offer,No,0.0,,Yes,Cable,10.0,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,0.0,0,0.0,2460.55,Stayed
11,Female,25,Yes,2,Sunnyvale,2,72,no_offer,Yes,16.01,Yes,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,0.0,0,1152.72,9609.47,Stayed
12,Female,58,Yes,0,Antelope,0,5,no_offer,Yes,18.65,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,0.0,0,93.25,444.75,Stayed
13,Female,32,No,0,La Mesa,0,72,Offer A,Yes,2.25,Yes,Yes,Fiber Optic,16.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,0.0,0,162.0,7423.25,Stayed
14,Female,39,No,0,Los Olivos,0,56,no_offer,No,0.0,,Yes,DSL,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,0.0,0,0.0,2560.1,Stayed
15,Female,58,Yes,2,Woodlake,9,71,Offer A,Yes,27.26,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,0.0,0,1935.46,8784.86,Stayed
16,Female,52,Yes,1,Point Reyes Station,0,34,no_offer,No,0.0,,Yes,DSL,20.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,0.0,0,0.0,1993.2,Stayed
17,Female,72,No,0,San Marcos,0,1,Offer E,Yes,7.77,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,0.0,0,7.77,79.87,Joined
18,Male,79,No,0,Daly City,0,45,no_offer,Yes,10.67,No,Yes,DSL,17.0,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,0.0,0,480.15,3271.65,Churned
19,Male,67,No,0,Morgan Hill,0,1,no_offer,No,0.0,,Yes,Cable,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,0.0,0,0.0,25.1,Churned
20,Female,79,Yes,0,Ahwahnee,0,50,no_offer,Yes,31.43,Yes,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,One Year,No,Bank Withdrawal,25.2,0.0,0,1571.5,2877.8,Stayed
21,Female,26,Yes,0,Carnelian Bay,1,13,no_offer,Yes,43.56,Yes,Yes,Fiber Optic,52.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,0.0,0,566.28,1781.88,Churned
22,Female,30,Yes,2,Alpaugh,1,23,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,0.0,0,802.93,2652.88,Stayed
